"author_a","author_b","year","title"
"Passos,AM","Silva,SAD","Accepted/In press","Looking at team improvised adaptation through a paradoxical lens: The role of team plasticity. Journal of Applied Behavioral Science. https://doi.org/10.1177/00218863211037441"
"Cunha,MPE","Silva,SAD","Accepted/In press","Looking at team improvised adaptation through a paradoxical lens: The role of team plasticity. Journal of Applied Behavioral Science. https://doi.org/10.1177/00218863211037441"
"Seremani,TW","Farias,C","Accepted/In press","New order and old Institutions: South Africa and the institutional work of the Truth and Reconciliation Commission. Organization Studies. https://doi.org/10.1177/01708406211006244"
"Seremani,TW","Clegg,S","Accepted/In press","New order and old Institutions: South Africa and the institutional work of the Truth and Reconciliation Commission. Organization Studies. https://doi.org/10.1177/01708406211006244"
"Farias,C","Clegg,S","Accepted/In press","New order and old Institutions: South Africa and the institutional work of the Truth and Reconciliation Commission. Organization Studies. https://doi.org/10.1177/01708406211006244"
"Castanheira,FVDS","Sguera,F","Accepted/In press","Organizational politics and its impact on performance and deviance through authenticity and emotional exhaustion. British Journal of Management. https://doi.org/10.1111/1467-8551.12550"
"Castanheira,FVDS","Story,J","Accepted/In press","Organizational politics and its impact on performance and deviance through authenticity and emotional exhaustion. British Journal of Management. https://doi.org/10.1111/1467-8551.12550"
"Sguera,F","Story,J","Accepted/In press","Organizational politics and its impact on performance and deviance through authenticity and emotional exhaustion. British Journal of Management. https://doi.org/10.1111/1467-8551.12550"
"Ninan,J","Mahalingam,A","Accepted/In press","Power in news media: Framing strategies and effects in infrastructure projects. International Journal of Project Management. https://doi.org/10.1016/j.ijproman.2021.09.003"
"Ninan,J","Clegg,S","Accepted/In press","Power in news media: Framing strategies and effects in infrastructure projects. International Journal of Project Management. https://doi.org/10.1016/j.ijproman.2021.09.003"
"Mahalingam,A","Clegg,S","Accepted/In press","Power in news media: Framing strategies and effects in infrastructure projects. International Journal of Project Management. https://doi.org/10.1016/j.ijproman.2021.09.003"
"Vicente,PC","Vilela,I","Accepted/In press","Preventing Islamic radicalization: Experimental evidence on anti-social behavior. Journal Of Comparative Economics. https://doi.org/10.1016/j.jce.2021.11.001"
"Carvalho,BP","Peralta,S","Accepted/In press","Regional and sectorial impacts of the Covid-19 crisis: Evidence from electronic payments. Journal of Regional Science. https://doi.org/10.1111/jors.12575"
"Carvalho,BP","PereiradosSantos,J","Accepted/In press","Regional and sectorial impacts of the Covid-19 crisis: Evidence from electronic payments. Journal of Regional Science. https://doi.org/10.1111/jors.12575"
"Peralta,S","PereiradosSantos,J","Accepted/In press","Regional and sectorial impacts of the Covid-19 crisis: Evidence from electronic payments. Journal of Regional Science. https://doi.org/10.1111/jors.12575"
"Husse,T","Pippo,F","Accepted/In press","Responsible minus irresponsible - a determinant of equity risk premia? Journal of Sustainable Finance and Investment. https://doi.org/10.1080/20430795.2021.1961557"
"Clegg,S","Cunha,MPE","Accepted/In press","Speaking truth to power: The academic as jester stimulating management learning. Management Learning. https://doi.org/10.1177/13505076211038080"
"Clegg,S","Rego,A","Accepted/In press","Speaking truth to power: The academic as jester stimulating management learning. Management Learning. https://doi.org/10.1177/13505076211038080"
"Clegg,S","Berti,M","Accepted/In press","Speaking truth to power: The academic as jester stimulating management learning. Management Learning. https://doi.org/10.1177/13505076211038080"
"Cunha,MPE","Rego,A","Accepted/In press","Speaking truth to power: The academic as jester stimulating management learning. Management Learning. https://doi.org/10.1177/13505076211038080"
"Cunha,MPE","Berti,M","Accepted/In press","Speaking truth to power: The academic as jester stimulating management learning. Management Learning. https://doi.org/10.1177/13505076211038080"
"Rego,A","Berti,M","Accepted/In press","Speaking truth to power: The academic as jester stimulating management learning. Management Learning. https://doi.org/10.1177/13505076211038080"
"Gupta,S","TovarJalles,J","Accepted/In press","Tax buoyancy in Sub-Saharan Africa and its determinants. International Tax and Public Finance. https://doi.org/10.1007/s10797-021-09694-x"
"Gupta,S","Liu,J","Accepted/In press","Tax buoyancy in Sub-Saharan Africa and its determinants. International Tax and Public Finance. https://doi.org/10.1007/s10797-021-09694-x"
"TovarJalles,J","Liu,J","Accepted/In press","Tax buoyancy in Sub-Saharan Africa and its determinants. International Tax and Public Finance. https://doi.org/10.1007/s10797-021-09694-x"
"Martins,LF","Rodrigues,PMM","Accepted/In press","Tests for segmented cointegration: an application to US governments budgets. Empirical Economics. https://doi.org/10.1007/s00181-021-02156-7"
"OchoaPacheco,P","Cunha,MPE","Accepted/In press","The impact of empowerment and technology on safety behavior: evidence from mining companies. International Journal of Occupational Safety and Ergonomics. https://doi.org/10.1080/10803548.2020.1808343"
"OchoaPacheco,P","Abrantes,ACM","Accepted/In press","The impact of empowerment and technology on safety behavior: evidence from mining companies. International Journal of Occupational Safety and Ergonomics. https://doi.org/10.1080/10803548.2020.1808343"
"Cunha,MPE","Abrantes,ACM","Accepted/In press","The impact of empowerment and technology on safety behavior: evidence from mining companies. International Journal of Occupational Safety and Ergonomics. https://doi.org/10.1080/10803548.2020.1808343"
"Costa,S","Daher,P","Accepted/In press","The interplay between ethical leadership and supervisor organizational embodiment on organizational identification and extra-role performance. European Journal of Work and Organizational Psychology. https://doi.org/10.1080/1359432X.2021.1952988"
"Costa,S","Neves,P","Accepted/In press","The interplay between ethical leadership and supervisor organizational embodiment on organizational identification and extra-role performance. European Journal of Work and Organizational Psychology. https://doi.org/10.1080/1359432X.2021.1952988"
"Costa,S","Velez,MJP","Accepted/In press","The interplay between ethical leadership and supervisor organizational embodiment on organizational identification and extra-role performance. European Journal of Work and Organizational Psychology. https://doi.org/10.1080/1359432X.2021.1952988"
"Daher,P","Neves,P","Accepted/In press","The interplay between ethical leadership and supervisor organizational embodiment on organizational identification and extra-role performance. European Journal of Work and Organizational Psychology. https://doi.org/10.1080/1359432X.2021.1952988"
"Daher,P","Velez,MJP","Accepted/In press","The interplay between ethical leadership and supervisor organizational embodiment on organizational identification and extra-role performance. European Journal of Work and Organizational Psychology. https://doi.org/10.1080/1359432X.2021.1952988"
"Neves,P","Velez,MJP","Accepted/In press","The interplay between ethical leadership and supervisor organizational embodiment on organizational identification and extra-role performance. European Journal of Work and Organizational Psychology. https://doi.org/10.1080/1359432X.2021.1952988"
"Cunha,MPE","Clegg,S","Accepted/In press","The paradox of the peasantry in management and organization studies. International Journal of Organizational Analysis. https://doi.org/10.1108/IJOA-08-2021-2921"
"Cunha,MPE","Rego,A","Accepted/In press","The paradox of the peasantry in management and organization studies. International Journal of Organizational Analysis. https://doi.org/10.1108/IJOA-08-2021-2921"
"Cunha,MPE","Berti,M","Accepted/In press","The paradox of the peasantry in management and organization studies. International Journal of Organizational Analysis. https://doi.org/10.1108/IJOA-08-2021-2921"
"Clegg,S","Rego,A","Accepted/In press","The paradox of the peasantry in management and organization studies. International Journal of Organizational Analysis. https://doi.org/10.1108/IJOA-08-2021-2921"
"Clegg,S","Berti,M","Accepted/In press","The paradox of the peasantry in management and organization studies. International Journal of Organizational Analysis. https://doi.org/10.1108/IJOA-08-2021-2921"
"Rego,A","Berti,M","Accepted/In press","The paradox of the peasantry in management and organization studies. International Journal of Organizational Analysis. https://doi.org/10.1108/IJOA-08-2021-2921"
"Cuypers,IRP","Patel,C","Accepted/In press","Top management teams in international business research: a review and suggestions for future research. Journal Of International Business Studies. https://doi.org/10.1057/s41267-021-00456-9"
"Cuypers,IRP","Ertug,G","Accepted/In press","Top management teams in international business research: a review and suggestions for future research. Journal Of International Business Studies. https://doi.org/10.1057/s41267-021-00456-9"
"Cuypers,IRP","Li,J","Accepted/In press","Top management teams in international business research: a review and suggestions for future research. Journal Of International Business Studies. https://doi.org/10.1057/s41267-021-00456-9"
"Cuypers,IRP","Cuypers,Y","Accepted/In press","Top management teams in international business research: a review and suggestions for future research. Journal Of International Business Studies. https://doi.org/10.1057/s41267-021-00456-9"
"Patel,C","Ertug,G","Accepted/In press","Top management teams in international business research: a review and suggestions for future research. Journal Of International Business Studies. https://doi.org/10.1057/s41267-021-00456-9"
"Patel,C","Li,J","Accepted/In press","Top management teams in international business research: a review and suggestions for future research. Journal Of International Business Studies. https://doi.org/10.1057/s41267-021-00456-9"
"Patel,C","Cuypers,Y","Accepted/In press","Top management teams in international business research: a review and suggestions for future research. Journal Of International Business Studies. https://doi.org/10.1057/s41267-021-00456-9"
"Ertug,G","Li,J","Accepted/In press","Top management teams in international business research: a review and suggestions for future research. Journal Of International Business Studies. https://doi.org/10.1057/s41267-021-00456-9"
"Ertug,G","Cuypers,Y","Accepted/In press","Top management teams in international business research: a review and suggestions for future research. Journal Of International Business Studies. https://doi.org/10.1057/s41267-021-00456-9"
"Li,J","Cuypers,Y","Accepted/In press","Top management teams in international business research: a review and suggestions for future research. Journal Of International Business Studies. https://doi.org/10.1057/s41267-021-00456-9"
"López,A","Neves,P","Accepted/In press","What does it take to start a business? Constraint appraisal as predictor of taking entrepreneurial action among nascent entrepreneurs. Applied Psychology. https://doi.org/10.1111/apps.12354"
"López,A","GonzálezMorales,MG","Accepted/In press","What does it take to start a business? Constraint appraisal as predictor of taking entrepreneurial action among nascent entrepreneurs. Applied Psychology. https://doi.org/10.1111/apps.12354"
"Neves,P","GonzálezMorales,MG","Accepted/In press","What does it take to start a business? Constraint appraisal as predictor of taking entrepreneurial action among nascent entrepreneurs. Applied Psychology. https://doi.org/10.1111/apps.12354"
"Mastio,EA","Clegg,SR","Accepted/In press","Leadership ignoring paradox to maintain inertial order. Journal of Change Management. https://doi.org/10.1080/14697017.2021.2005294"
"Mastio,EA","PinaeCunha,M","Accepted/In press","Leadership ignoring paradox to maintain inertial order. Journal of Change Management. https://doi.org/10.1080/14697017.2021.2005294"
"Mastio,EA","Dovey,K","Accepted/In press","Leadership ignoring paradox to maintain inertial order. Journal of Change Management. https://doi.org/10.1080/14697017.2021.2005294"
"Clegg,SR","PinaeCunha,M","Accepted/In press","Leadership ignoring paradox to maintain inertial order. Journal of Change Management. https://doi.org/10.1080/14697017.2021.2005294"
"Clegg,SR","Dovey,K","Accepted/In press","Leadership ignoring paradox to maintain inertial order. Journal of Change Management. https://doi.org/10.1080/14697017.2021.2005294"
"PinaeCunha,M","Dovey,K","Accepted/In press","Leadership ignoring paradox to maintain inertial order. Journal of Change Management. https://doi.org/10.1080/14697017.2021.2005294"
"MarquesGomes,J","Salt,MJ","Accepted/In press","Development of the HIV360 international core set of outcome measures for adults living with HIV: A consensus process. Hiv Medicine. https://doi.org/10.1111/hiv.13221"
"MarquesGomes,J","PereiraNeto,R","Accepted/In press","Development of the HIV360 international core set of outcome measures for adults living with HIV: A consensus process. Hiv Medicine. https://doi.org/10.1111/hiv.13221"
"MarquesGomes,J","Barteldes,FS","Accepted/In press","Development of the HIV360 international core set of outcome measures for adults living with HIV: A consensus process. Hiv Medicine. https://doi.org/10.1111/hiv.13221"
"MarquesGomes,J","GouveiaBarros,V","Accepted/In press","Development of the HIV360 international core set of outcome measures for adults living with HIV: A consensus process. Hiv Medicine. https://doi.org/10.1111/hiv.13221"
"MarquesGomes,J","Carvalho,A","Accepted/In press","Development of the HIV360 international core set of outcome measures for adults living with HIV: A consensus process. Hiv Medicine. https://doi.org/10.1111/hiv.13221"
"MarquesGomes,J","dArminioMonforte,A","Accepted/In press","Development of the HIV360 international core set of outcome measures for adults living with HIV: A consensus process. Hiv Medicine. https://doi.org/10.1111/hiv.13221"
"MarquesGomes,J","DelaTorreRosas,A","Accepted/In press","Development of the HIV360 international core set of outcome measures for adults living with HIV: A consensus process. Hiv Medicine. https://doi.org/10.1111/hiv.13221"
"MarquesGomes,J","Harris,A","Accepted/In press","Development of the HIV360 international core set of outcome measures for adults living with HIV: A consensus process. Hiv Medicine. https://doi.org/10.1111/hiv.13221"
"MarquesGomes,J","Esteves,C","Accepted/In press","Development of the HIV360 international core set of outcome measures for adults living with HIV: A consensus process. Hiv Medicine. https://doi.org/10.1111/hiv.13221"
"MarquesGomes,J","Maor,C","Accepted/In press","Development of the HIV360 international core set of outcome measures for adults living with HIV: A consensus process. Hiv Medicine. https://doi.org/10.1111/hiv.13221"
"MarquesGomes,J","Mora,C","Accepted/In press","Development of the HIV360 international core set of outcome measures for adults living with HIV: A consensus process. Hiv Medicine. https://doi.org/10.1111/hiv.13221"
"MarquesGomes,J","Oliveira,C","Accepted/In press","Development of the HIV360 international core set of outcome measures for adults living with HIV: A consensus process. Hiv Medicine. https://doi.org/10.1111/hiv.13221"
"MarquesGomes,J","Sousa,C","Accepted/In press","Development of the HIV360 international core set of outcome measures for adults living with HIV: A consensus process. Hiv Medicine. https://doi.org/10.1111/hiv.13221"
"MarquesGomes,J","Richman,DD","Accepted/In press","Development of the HIV360 international core set of outcome measures for adults living with HIV: A consensus process. Hiv Medicine. https://doi.org/10.1111/hiv.13221"
"MarquesGomes,J","Martinez,E","Accepted/In press","Development of the HIV360 international core set of outcome measures for adults living with HIV: A consensus process. Hiv Medicine. https://doi.org/10.1111/hiv.13221"
